Name,Description,Note,Created,Last edited time,length,Created by,Days
你可以將自己的筆記本看作是顯示自己並不完美的證據，或是你展現勇氣的明證。,《子彈思考整理術》,,"November 12, 2022 10:25 AM","November 12, 2022 10:25 AM",36,imac-fly,0
當你有勇氣開口說出你的脆弱時，你身邊的人也會如獲特赦地開口說出他們的脆弱。,《道德浪女》,,"April 28, 2022 7:53 AM","April 28, 2022 7:53 AM",37,imac-fly,0
公開的決裂至少可以教孩子明白，人能夠靠勇敢的決斷結束一種不可容忍的生活狀況。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 3, 2022 10:09 AM","May 3, 2022 10:09 AM",38,imac-fly,0
勇敢地吸收所有來到眼前的經驗，充分地浸潤，直到你的詩成為完整個體，而不是碎片。,"《論自我與寫作》",,"February 14, 2023 11:15 AM","May 2, 2023 1:26 PM",39,imac-fly,77
"我們常常著眼於改變對方，而非建設自我價值，這使得我們少了承擔自己生命的勇氣。","《阿德勒談生命風格》",,"March 29, 2023 3:18 PM","March 29, 2023 3:18 PM",40,imac-fly,0
一個勇敢的人，不是因為他征服了恐懼的情緒，而是他決定了恐懼並不是他想顯現的情緒。,"《沒有別人，怎麼做自己？》
",是決定想要的情緒,"January 10, 2023 5:20 PM","May 2, 2023 1:26 PM",40,imac-fly,111
"問題不在於：我們的孩子能不能好好掌控自由？問題在於：我們有沒有勇氣給他們自由？","《人慈》",,"February 1, 2023 11:01 AM","February 1, 2023 11:01 AM",41,imac-fly,0
你最需要鼓起勇氣去做的事情不是戰勝別人，而是不管別人怎麼說，都要忠於最真實的自我。,"《原則》
",,"January 5, 2023 1:48 PM","May 2, 2023 1:26 PM",41,imac-fly,116
知識最個人化的這一面，意味著要賦予個人勇氣去決定自己的人生，無需教師或教士的指點。,《在阿爾卑斯山與尼采相遇》,,"October 27, 2022 1:00 PM","October 27, 2022 1:00 PM",41,imac-fly,0
要能夠愛和被愛需要勇氣：斷定某些價值無比重要的勇氣，把一切押注在這些價值上的勇氣。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 26, 2022 1:16 PM","April 11, 2023 6:45 PM",41,imac-fly,289
"以色列匯聚的不只是受到迫害的難民，還有具有強大信仰與企圖心的人民，是勇者的熔爐。","《跟以色列人做生意，和你想的不一樣！》",,"April 28, 2023 11:21 AM","April 28, 2023 11:21 AM",42,imac-fly,0
非常簡單的方式表達極為複雜的道理。要有勇氣深入淺出地自我表達，必須先有勇氣傾聽自己。,"《自信的躍進》",,"February 8, 2023 3:32 PM","March 22, 2023 12:12 PM",42,imac-fly,41
這就是解脫束縛、勇於面對挑戰的反應──你心想，我絕不會被擊倒。我要好好把握這個機會。,《大腦解鎖》,,"April 21, 2022 7:07 PM","April 21, 2022 7:07 PM",42,imac-fly,0
"關於「被討厭的勇氣」，或許我們先學著接受自己的卑劣黑暗面，才有機會讓勇氣誕生出來。","《喜劇媽媽桑幽默表達學》",,"April 13, 2023 10:10 PM","April 13, 2023 10:10 PM",43,imac-fly,0
"書寫最重要的優點即是，當我們對某事並不是真的瞭解時，寫作可以幫助我們勇於面對自己。","《卡片盒筆記》",,"February 15, 2023 6:57 PM","February 15, 2023 6:57 PM",43,imac-fly,0
"只要每個人都能好好運用自卑感，培養適當的社會興趣，就能萌生勇氣，融入社會並適應良好。","《從絕望到希望的阿德勒幸福論》",,"April 5, 2023 12:41 AM","April 5, 2023 12:41 AM",44,imac-fly,0
"有時候，執行慷慨型權威需要有不怕被討厭的勇氣，才能讓與會的賓客享受到最棒的聚會體驗。","《這樣聚會，最成功！》",,"February 28, 2023 12:17 PM","February 28, 2023 12:17 PM",44,imac-fly,0
想控制住恐懼，你就必須刻意地做出勇敢行為。這是由你做出的選擇，也是每個人都能做出的選擇。,《真正無懼的身心防彈術》,,"September 9, 2022 8:48 AM","May 2, 2023 1:26 PM",44,imac-fly,235
相信人天生好心，並不是感情用事、也不是天真。相反地，相信和平與原諒，是勇敢而切乎實際的。,《人慈》,,"May 22, 2022 9:22 AM","May 22, 2022 9:22 AM",44,imac-fly,0
"自信並非相信自己，而是找到面對不確定性的勇氣，不逃避未知，在疑惑中找到繼續前進的動力。","《自信的躍進》",,"February 8, 2023 3:36 PM","February 8, 2023 3:36 PM",45,imac-fly,0
"相信人天生好心，並不是感情用事、也不是天真。相反地，相信和平與原諒，是勇敢而切乎實際的。","《人慈》",,"February 1, 2023 11:03 AM","February 1, 2023 11:03 AM",46,imac-fly,0
換句話說，這是人生中最勇於冒險、尋求新奇（noveltyseeking）及同儕歸屬感的時期。,《行為》,,"July 14, 2022 11:04 PM","July 14, 2022 11:04 PM",46,imac-fly,0
我們不必把身、語、意淨化成百分之百的陽光和正面，但我們應該挑戰自己，勇敢刨出負面情緒的根節。,《僧人心態》,,"June 20, 2022 8:11 PM","May 2, 2023 1:26 PM",46,imac-fly,315
勇敢面對限制也會讓我們明白，有時候自由並非來自進一步掌控時間表，而是允許自己受限於群體的韻律。,在你不能百分之百決定自己要做什麼、何時去做的情況下，參與各式社交生活,,"June 25, 2022 6:08 PM","May 2, 2023 1:26 PM",47,imac-fly,310
如果我們缺乏勇氣成為個體，我們就會永遠搆不著愛，因為「愛是在保存一己完整的前提下達成的合一」。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 26, 2022 3:12 PM","April 11, 2023 6:48 PM",47,imac-fly,320
如果我們不願意深入自己內心、勇敢去挖掘自己的生命，我們就很容易用各種隱微的暴力形式來對待別人。,《生活中的瑜伽智慧》,,"April 29, 2022 2:40 PM","May 2, 2023 1:27 PM",47,imac-fly,367
她是一位勇者！在她獨自與生活搏鬥的日子裡，透過工作、歌唱、或幫助他人，就這麼覓得一席安身之地。,《閣樓裡的哲學家》,,"April 18, 2022 5:59 AM","May 2, 2023 1:27 PM",47,imac-fly,379
唯有以清醒的頭腦，勇敢面對死亡的必然性，以及人終有一死帶來的各種結論，我們才會真正活在人生當下。,"《人生4千個禮拜》
",,"January 5, 2023 2:19 PM","May 2, 2023 1:27 PM",48,imac-fly,116
我們所要做的是理解孩子，使他們避免犯錯，不斷地鼓勵他們勇敢去面對和解決問題，並發展他們的社會情感。,《阿德勒心理學講義2》,,"July 10, 2022 6:59 PM","July 10, 2022 6:59 PM",49,imac-fly,0
這是很親密的對話。請讓你的伴侶知道，他這麼勇敢地談論自己的掙扎，你很珍惜。這時候來個抱抱是很棒的。,《道德浪女》,,"June 17, 2022 2:47 PM","June 17, 2022 2:47 PM",49,imac-fly,0
你站在何處，你就深深地挖掘！下面就是清泉！讓愚昧的傢伙去怨嗟：「最下面是─地獄！」（〈勇往直前〉）,《尼采詩集星星的碎片》,,"April 11, 2022 3:21 PM","April 11, 2022 3:21 PM",49,imac-fly,0
當我修習時，守護天使一直陪著我，幫助我勇敢面對生起的一切苦惱與痛楚。攜帶正念遠比攜帶行動電話更重要。,《諦聽與愛語》,,"November 25, 2022 12:01 PM","November 25, 2022 12:01 PM",50,imac-fly,0
佛里曼的「樂觀」，則來自深信美國社會仍擁有龐大無比的無形資產，包括：勇往直前的精神多元的意見與才華。,《謝謝你遲到了》,,"April 19, 2022 4:40 PM","May 2, 2023 1:27 PM",50,imac-fly,377
不完美也可以，相較於成為完美的人，我更希望他在失敗中愈戰愈勇。我希望兒子可以令周圍的人「好想支持他」。,"《兒子使用說明書》",,"February 27, 2023 10:39 AM","May 2, 2023 1:27 PM",51,imac-fly,64
面對社會的道德議題與倫理處境，產生為自我而生的勇氣，才是人本倫理的呼喚，也是佛洛姆闡釋自我追尋的真諦。,《逃避自由》,,"November 6, 2022 2:32 PM","November 6, 2022 2:32 PM",51,imac-fly,0
堅持自己對另一個人的判斷而不理會眾人意見，堅持自己的信念哪怕它們不受歡迎──這些堅持都需要信仰和勇氣。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"June 26, 2022 1:17 PM","May 2, 2023 1:27 PM",51,imac-fly,310
"想炫耀自己的功勞、執著於過去的光環、老是在說當年勇……說不定你身邊也有這樣的人。這些也都算是優越情結","《被討厭的勇氣：自我啟發之父「阿德勒」的教導》",,"February 24, 2023 5:37 PM","February 24, 2023 5:37 PM",52,imac-fly,0
信心是一種神祕的境界；我們在其中找到勇氣，相信眼所未見之事，我們也在其中找到力量，放下對於不確定的恐懼。,《不完美的禮物》,,"December 22, 2022 10:17 PM","December 22, 2022 10:17 PM",52,imac-fly,0
要記住，你並不孤單，你是人類未來一整個世代的一分子。只要明白這點，你終有一天會獲得勇氣，找到人生的目標。,《最後一次相遇，我們只談喜悅》,,"April 27, 2022 9:00 AM","April 27, 2022 9:00 AM",52,imac-fly,0
"每次得到一點什麼，就會失去一點什麼，但我們仍每天拚命地走在沒有明確答案的人生路上，光是這樣就很勇敢了。","《再見了！深夜咖啡店》",,"March 13, 2023 5:41 PM","March 13, 2023 5:41 PM",53,imac-fly,0
"你真的認為是因為軟弱才會屈服於誘惑嗎？我跟你說，有許多可怕的誘惑需要力量，是力量與勇氣才會向誘惑低頭。","《這些話，為什麼這麼有哏？！》",,"February 28, 2023 4:17 PM","February 28, 2023 4:17 PM",53,imac-fly,0
鼓起勇氣面對創傷、戰勝創傷的渴望與為此付出的努力，將成為人成長的動力，使一個人真正活出自我、變得更加出色。,《不便利的便利店》,,"October 5, 2022 11:34 AM","October 5, 2022 11:34 AM",53,imac-fly,0
不過若只是單純想滿足另一半，建議多觀察對方需求，勇敢談那些自己不足的地方，了解對方在意的是什麼，才是首要。,《性愛的科學》,,"September 14, 2022 7:55 PM","September 14, 2022 7:55 PM",53,imac-fly,0
關上心扉並不能得到喜悅，有勇氣懷著一顆開放的心過日子，雖會感受到自己與他人的苦痛，卻也同時能感受到更多喜悅。,《最後一次相遇，我們只談喜悅》,,"June 29, 2022 1:10 PM","June 29, 2022 1:10 PM",54,imac-fly,0
唯一的方式是要有足夠的自我意識和勇氣，拒絕把最重要的思考和心智活動交給電腦，特別是「需要智慧來處理的工作」。,《網路讓我們變笨？》,,"May 23, 2022 11:55 AM","May 2, 2023 1:27 PM",54,imac-fly,344
只要你勇於擔任自己生命的計畫主持人──未來學家。所以，放手去做，做出假設，在做出未來的預測後再對它們進行檢驗。,《胡思亂想的爆發力》,,"September 7, 2022 12:36 PM","September 7, 2022 12:36 PM",55,imac-fly,0
勇敢的領導者之所以堅強，是因為他們知道自己沒有全部的答案，也無法掌控一切，但他們有彼此支持的夥伴和崇高的信念。,《無限賽局》,,"May 10, 2022 12:30 PM","May 2, 2023 1:27 PM",55,imac-fly,357
