Name,Description,Note,Created,Last edited time,length,Created by,Days
在水中移動、玩耍的方式，跟在空氣中不一樣。我們可以探索水的力學、流動和各種面向。,"《初戀和最後的故事：關於大腦、生命和愛，奧立佛．薩克斯的記憶之書》",,"April 19, 2023 8:39 PM","April 28, 2023 12:07 PM",40,imac-fly,8
過三十以後，愛情就是生涯規劃的一部分，沒有生涯規劃的戀愛，你就承認只是玩玩而已吧。,《婚前一年》,,"September 20, 2022 11:07 AM","September 20, 2022 11:07 AM",41,imac-fly,0
殘酷的現實不斷提醒你，世上沒有彼得潘！只有在玩具反斗城裡面，你才能說自己不想長大！,《生而為粉，我很幸福》,,"June 7, 2022 10:13 PM","June 7, 2022 10:13 PM",41,imac-fly,0
"創造力的關鍵在於，要能夠在極為開放、玩耍的心態，跟狹隘、分析性的框架之間轉換著。","《卡片盒筆記》",,"February 15, 2023 7:00 PM","February 15, 2023 7:00 PM",42,imac-fly,0
"習慣把東西用完隨手丟的人，應該改成像幼稚園的玩具箱那樣，丟進去就完事的簡單收納。","《專注力UP！5分鐘居家辦公整理術》",,"February 2, 2023 10:11 AM","February 2, 2023 10:11 AM",42,imac-fly,0
我覺得書寫好玩的地方也在於，當一個東西隱隱然出現時，就要開始，不會讓自己無盡地等待。,《感情百物》,,"September 18, 2022 8:06 AM","April 28, 2023 12:08 PM",42,imac-fly,222
答案之一可能是靠藥物和電玩。那些對社會來說多餘的人，可以多花點時間在3D虛擬世界裡；,《人類大命運》,,"June 13, 2022 10:55 PM","June 13, 2022 10:55 PM",42,imac-fly,0
人總是過度追求事物變遷的「意義」，這就是為什麼人無法盡情享受「無意義的玩樂」的原因。,《日本5ch戰神的回嘴技術》,,"June 6, 2022 8:11 PM","June 6, 2022 8:11 PM",42,imac-fly,0
"創造新事物不是靠聰明才智，靠的是依照內在需求的玩耍本能。創造的心和喜愛的事物玩耍。","《創作，是心靈療癒的旅程》",,"February 7, 2023 10:25 AM","February 7, 2023 10:25 AM",43,imac-fly,0
陌生人，催產素會讓玩家比較不願合作，在自己運氣不好時更容易嫉妒，運氣好時更加幸災樂禍。,《行為》,,"December 19, 2022 11:19 AM","December 19, 2022 11:19 AM",43,imac-fly,0
對比較熟的人，我不敢跟他們嘗試。其他相對較新結識的朋友，就很容易與他們一起玩姿態遊戲。,《即興》,,"April 20, 2022 9:37 AM","April 20, 2022 9:37 AM",43,imac-fly,0
"只有追求自我精益求精的比賽，才能洋溢樂趣，要是把贏得比賽當成唯一目標，就不再好玩了。","《心流（繁體中文唯一全譯本，二版）》",,"February 24, 2023 5:25 PM","February 24, 2023 5:25 PM",44,imac-fly,0
就像所有的無限賽局，在人生的賽局中，目標不是要獲勝，而是繼續玩下去，以服務為目標的生活。,《無限賽局》,,"May 10, 2022 12:24 PM","May 10, 2022 12:24 PM",44,imac-fly,0
假設A是成功的人生，那麼A = x + y + z。x是工作，y是玩耍，而z是閉上你的嘴。,"《愛因斯坦終極語錄（普林斯頓大學授權繁體中文版首次問世）》",,"March 31, 2023 10:42 AM","April 28, 2023 12:08 PM",45,imac-fly,28
"說到玩耍，我指的是廣義的玩耍──好奇心使你想去哪就去哪的自由。去探索發現、去實驗創造。","《人慈》",,"February 1, 2023 10:19 AM","February 1, 2023 10:19 AM",45,imac-fly,0
"嘲弄文化的問題在於總是玩世不恭，好像超越所有立場，事實上卻只是流於耍嘴皮子而毫無建設性。","《當代藝術大白話》",,"January 22, 2023 7:38 AM","January 22, 2023 7:38 AM",46,imac-fly,0
托馬斯當時並不知道，隱喻是一種危險的東西。我們不能拿隱喻鬧著玩。愛情有可能就誕生於一則隱喻。,"《生命中不能承受之輕【全新版】》
",,"January 7, 2023 10:39 AM","April 28, 2023 12:09 PM",46,imac-fly,111
托馬斯當時並不知道，隱喻是一種危險的東西。我們不能拿隱喻鬧著玩。愛情有可能就誕生於一則隱喻。,《生命中不能承受之輕【全新版】》,,"December 15, 2022 5:03 PM","April 28, 2023 12:08 PM",46,imac-fly,133
可能你們一起玩BDSM、情慾角色扮演、性別探索、靈性追尋，或者任何他的伴侶不想玩的角色扮演。,《道德浪女》,,"June 24, 2022 11:00 AM","April 28, 2023 12:08 PM",46,imac-fly,308
" 成癮行為（比方網路、電玩、食物、購物、蒐集物品、工作、藥物、酒精、金錢、性愛、色情片等方面。","《療癒，從感受情緒開始》",,"April 10, 2023 1:45 PM","April 10, 2023 8:40 PM",47,imac-fly,0
問題是旁人並不知道你什麼可以開玩笑，什麼不可以。唯有自己釋放那個訊息，他人才可能放鬆跟你相處。,《喜劇媽媽桑幽默表達學》,,"September 28, 2022 8:34 AM","September 28, 2022 8:34 AM",47,imac-fly,0
如果你真的把糖果或玩具拿給一個幼童當獎勵，之後他們幫忙的情況會「變少」，因為那不是他們的動機。,《人慈》,,"May 27, 2022 5:25 AM","April 28, 2023 12:08 PM",47,imac-fly,336
一旦長時間觀看電視或是使用電視遊樂器玩遊戲，開始的分鐘到一小時，額葉就會持續陷入功能低落的狀態。,"《精準用腦》",,"January 17, 2023 3:07 PM","April 28, 2023 12:08 PM",48,imac-fly,100
一名緬甸作家跟我開玩笑說：「在緬甸，我們有想寫什麼就寫什麼的自由。我們只是沒有公開發表的自由。」,《在緬甸尋找喬治．歐威爾（二版）》,,"November 24, 2022 10:06 AM","November 24, 2022 10:06 AM",48,imac-fly,0
"「我欣賞懂得玩樂的人。」他說：「如果一個人懂得享受生活，懂得自娛娛人，就比較不會那麼自我中心。","《自由的技藝》",,"March 23, 2023 1:18 PM","March 23, 2023 1:18 PM",49,imac-fly,0
大多數老師都不敢向學生發出「我在玩」的信號。只要他們願意這麼做，他們的工作就會變成一種持續的樂趣。,《即興》,,"October 13, 2022 5:33 PM","October 13, 2022 5:33 PM",49,imac-fly,0
"「玩中學」的教養腳本，意味著父母要做的事情變得更多，因為日常生活無處不是教室，遊戲玩樂都在學習。","《拚教養》",,"March 7, 2023 3:56 PM","March 7, 2023 3:56 PM",50,imac-fly,0
性愛的自給自足是浪女的重要技能，所以我們比較不會因為色慾薰心而跟不適合的人玩。請當你自己的最佳情人。,《道德浪女》,,"December 27, 2022 6:05 PM","December 27, 2022 6:05 PM",50,imac-fly,0
和小朋友一起玩「我是小間諜」（ISpy）。只要能讓你的注意力更加集中在你當下做的事，什麼活動都可以。,《人生4千個禮拜》,,"June 17, 2022 9:08 AM","June 17, 2022 9:08 AM",50,imac-fly,0
我們在地球上只是過客，來這裡遊玩一陣子而已，所以應該好好把握每一天，讓這世界對每個人來說都更美好一點。,《最後一次相遇，我們只談喜悅》,,"June 21, 2022 3:34 PM","April 28, 2023 12:09 PM",51,imac-fly,310
生物學家們有個共識是，玩耍的本能深植於我們天性中。幾乎所有的哺乳類都會玩耍，而許多其他動物也難忍住不玩。,《人慈》,,"May 19, 2022 7:21 PM","May 19, 2022 7:21 PM",52,imac-fly,0
"如果這個遊戲只是在虛擬世界玩，是沒有用的，因為最後真正值錢的還是法幣。因此必須把加密貨幣與實體法幣連結","《加密貨幣的真相：揭穿區塊鏈無本金融的國王新衣》",,"February 6, 2023 11:48 PM","February 6, 2023 11:48 PM",53,imac-fly,0
"這些都是遊戲透過演算法要勾引玩家上癮的手段。無怪乎這些做法有一種名符其實的稱號叫「武器化的行為心理學」。","《睏世代：為何你的孩子總是睡不飽？》",,"April 22, 2023 9:03 PM","April 22, 2023 9:03 PM",54,imac-fly,0
"這些傑出科學家在解決問題的時候，時而會把極致的專注力放在某個特定的概念上，時而又是玩耍似地探索各種想法。","《卡片盒筆記》",,"February 15, 2023 7:00 PM","February 15, 2023 7:00 PM",54,imac-fly,0
"我和哈克一樣，開始使用語言的暗示性，來宣告這會是一個好的經驗，而且我們還可以一起合作，讓這件事情變好玩。","《陪一顆心長大：從心理諮商到養兒育女》",,"February 9, 2023 12:07 PM","February 9, 2023 12:07 PM",54,imac-fly,0
如果你沒辦法跟朋友或情人以親密與明白的方式討論性愛，那你怎麼可能在發生問題的時候好好處理，或者嘗試新的玩法？,《道德浪女》,,"June 28, 2022 10:43 PM","June 28, 2022 10:43 PM",54,imac-fly,0
可能是很瑣碎的享樂：亂拉大便、吸吮大拇指、稚氣地玩弄生殖器等，被溺愛孩子的性格，可以從他們這些偏執行為裡看出。,《自卑情結》,,"July 10, 2022 8:12 PM","April 28, 2023 12:09 PM",55,imac-fly,291
今日在網路上殺時間，通常不會好玩到哪裡去。其實也不需要有趣，只需要讓你感到不受限，就足以減輕有限性引發的痛苦。,《人生4千個禮拜》,,"May 23, 2022 10:06 PM","May 23, 2022 10:06 PM",55,imac-fly,0
